iter	Passed	Remaining
332	1486	2977
333	1489	2969
334	1491	2960
335	1493	2951
336	1496	2943
337	1499	2936
338	1501	2927
339	1503	2918
340	1505	2909
341	1507	2901
342	1512	2897
343	1514	2888
344	1517	2880
345	1519	2871
346	1528	2876
347	1530	2867
348	1532	2859
349	1535	2852
350	1546	2858
351	1549	2852
352	1551	2843
353	1553	2835
354	1556	2827
355	1558	2818
356	1562	2814
357	1582	2837
358	1584	2828
359	1588	2823
360	1590	2815
361	1592	2806
362	1594	2798
363	1596	2790
364	1599	2782
365	1603	2778
366	1608	2773
367	1610	2765
368	1613	2759
369	1616	2751
370	1618	2743
371	1620	2736
372	1622	2728
373	1626	2722
374	1628	2714
375	1630	2706
376	1633	2698
377	1635	2690
378	1637	2683
379	1655	2700
380	1657	2692
381	1659	2685
382	1662	2677
383	1665	2671
384	1667	2663
385	1669	2656
386	1672	2649
387	1674	2641
388	1682	2642
389	1684	2634
390	1686	2627
391	1688	2619
392	1694	2616
393	1696	2609
394	1698	2601
395	1700	2594
396	1703	2586
397	1706	2580
398	1708	2573
399	1710	2565
400	1712	2558
401	1714	2550
402	1720	2548
403	1722	2541
404	1724	2534
405	1727	2526
406	1730	2521
407	1733	2514
408	1745	2522
409	1757	2529
410	1759	2522
411	1762	2515
412	1764	2508
413	1767	2501
414	1771	2496
415	1773	2489
416	1776	2483
417	1778	2476
418	1784	2474
419	1788	2469
420	1790	2462
421	1792	2455
422	1795	2448
423	1799	2443
424	1801	2437
425	1803	2430
426	1806	2423
427	1808	2416
428	1812	2412
429	1814	2405
430	1817	2399
431	1819	2392
432	1822	2385
433	1828	2384
434	1830	2378
435	1833	2371
436	1835	2364
437	1843	2365
438	1845	2358
439	1848	2352
440	1851	2347
441	1853	2340
442	1856	2333
443	1858	2327
444	1860	2320
445	1864	2315
446	1872	2316
447	1876	2312
448	1879	2306
449	1887	2307
450	1892	2303
451	1894	2296
452	1897	2290
453	1899	2284
454	1903	2280
455	1905	2273
456	1908	2267
457	1910	2260
458	1912	2254
459	1920	2254
460	1925	2251
461	1930	2247
462	1932	2241
463	1934	2235
464	1937	2228
465	1939	2222
466	1948	2223
467	1955	2223
468	1958	2216
469	1960	2210
470	1962	2204
471	1964	2198
472	1967	2192
473	1971	2187
474	1973	2181
475	1985	2185
476	1987	2179
477	1990	2173
478	1993	2167
479	1996	2162
480	1998	2156
481	2001	2151
482	2004	2145
483	2006	2139
484	2012	2136
485	2021	2137
486	2023	2131
487	2026	2126
488	2028	2120
489	2031	2114
490	2034	2108
491	2036	2102
492	2038	2096
493	2041	2090
494	2043	2084
495	2046	2079
496	2048	2073
497	2068	2084
498	2072	2080
499	2074	2074
500	2077	2069
501	2079	2063
502	2081	2057
503	2086	2052
504	2090	2048
505	2092	2042
506	2094	2036
507	2098	2032
508	2111	2036
509	2113	2030
510	2116	2024
511	2118	2019
512	2120	2013
513	2124	2008
514	2126	2002
515	2128	1996
516	2131	1991
517	2133	1985
518	2138	1981
519	2142	1977
520	2144	1971
521	2147	1966
522	2165	1975
523	2168	1969
524	2170	1963
525	2172	1958
526	2175	1952
527	2178	1947
528	2180	1941
529	2182	1935
530	2185	1930
531	2187	1924
532	2190	1919
533	2193	1914
534	2195	1908
535	2197	1902
536	2200	1896
537	2207	1896
538	2210	1890
539	2212	1884
540	2215	1879
541	2217	1873
542	2219	1868
543	2221	1862
544	2224	1856
545	2226	1851
546	2229	1846
547	2231	1840
548	2233	1835
549	2236	1829
550	2238	1823
551	2245	1822
552	2248	1817
553	2250	1811
554	2252	1806
555	2255	1801
556	2257	1795
557	2260	1790
558	557	2381	1886
558	2386	1882
559	2388	1877
560	2391	1871
561	2393	1865
562	2395	1564	563	2398	1565	2297	1761
566	565	2415	1852
566	2417	1846
567	2420	1840
568	2422	1835
569	2426	1830
570	2428	1824
571	2431	1819
572	2433	1813
573	2435	1807
574	2438	1802
575	2441	1797
576	2444	1791
577	2446	1786
578	2448	1780
579	2457	1779
580	2459	1773
581	2462	1768
582	2464	1762
583	2467	1757
584	2467	1750
585	2470	1745
586	2472	1739
587	2474	1734
588	2477	1728
589	2483	1725
590	2485	1720
591	2488	1714
592	2490	1709
593	2494	1705
594	2497	1699
595	2499	1694
596	2501	1688
597	2504	1683
598	2507	1678
599	2511	1674
600	2513	1668
601	2515	1663
602	2518	1657
603	2521	1653
604	2523	1647
605	2526	1642
606	2528	1637
607	2530	1631
608	2534	1627
609	2537	1622
610	2539	1616
611	2541	1611
612	2544	1606
613	2547	1601
614	2550	1596
615	2552	1591
616	2554	1585
617	2557	1580
618	2560	1575
619	2563	1571
620	2566	1566
621	2568	1561
622	2571	1555
623	2575	1551
624	2577	1546
625	2580	1541
626	2582	1536
627	2585	1531
628	2590	1528
629	2593	1523
630	2595	1518
631	2598	1513
632	2603	1509
633	2605	1504
634	2608	1499
635	2610	1494
636	2613	1489
637	2616	1484
638	2619	1480
639	2622	1474
640	2624	1469
641	2628	1465
642	2631	1460
643	2633	1455
644	2635	1450
645	2637	1445
646	2644	1442
647	2646	1437
648	2649	1432
649	2651	1427
650	2655	1423
651	2658	1418
652	2660	1413
653	2663	1409
654	2665	1403
655	2668	1399
656	2670	1394
657	2673	1389
658	2675	1384
659	2677	1379
660	2681	1375
661	2684	1370
662	2686	1365
663	2688	1360
664	2691	1355
665	2696	1352
666	2698	1347
667	2701	1342
668	2703	1337
669	2705	1332
670	2708	1328
671	2711	1323
672	2713	1318
673	2715	1313
674	2718	1308
675	2721	1304
676	2726	1300
677	2728	1295
678	2730	1290
679	2733	1286
680	2737	1282
681	2740	1277
682	2742	1272
683	2744	1268
684	2748	1263
685	2750	1258
686	2753	1254
687	2755	1249
688	2758	1244
689	2761	1240
690	2763	1235
691	2766	1231
692	2768	1226
693	2770	1221
694	2772	1216
695	2776	1212
696	2778	1208
697	2781	1203
698	2783	1198
699	2785	1193
700	2789	1189
701	2791	1184
702	2793	1180
703	2796	1175
704	2798	1171
705	2803	1167
706	2805	1162
707	2808	1158
708	2810	1153
709	2816	1150
710	2818	1145
711	2821	1141
712	2823	1136
713	2826	1132
714	2829	1127
715	2832	1123
716	2834	1118
717	2837	1114
718	2842	1110
719	2844	1106
720	2846	1101
721	2849	1096
722	2851	1092
723	2854	1088
724	2856	1083
725	2858	1078
726	2860	1074
727	2862	1069
728	2864	1064
729	2866	1060
730	2868	1055
731	2870	1050
732	2872	1046
733	2874	1041
734	2875	1036
735	2877	1032
736	2879	1027
737	2883	1023
738	2885	1019
739	2887	1014
740	2889	10107741	2893	1006
742	2897	1002
743	2899	997
744	2901	993
745	2904	988
746	2907	984
747	2909	980
748	2911	9751749	2914	971
750	2916	967
751	2921	9754752	2924	9755753	2926	9756754	2929	9757755	2931	9758756	2935	9759757	2939	938
758	2941	934
759	2943	9762760	2947	9763761	2949	9764762	2951	9765763	2953	9766764	2955	9767765	2958	9768766	2961	8769767	2964	8770768	2966	8771769	2969	8772770	2971	8773771	2975	8774772	2977	874
773	2980	8776774	2982	8777775	2984	8778776	2988	8779777	2990	8780778	2993	8781779	2995	8782780	2997	8783781	3001	8784782	3003	8785783	3006	8786784	3007	8787785	3009	8788786	3011	8789787	3017	811
788	3019	8791789	3023	803
790	3025	799
791	3029	795
792	3032	7795793	3034	7796794	3036	783
795	3039	778
796	3042	774
797	3046	7800798	3048	7801799	3050	7802800	3052	7803801	3056	7804802	3059	7805803	3062	7806804	3064	7807805	3067	7808806	3069	7809807	3071	7810808	3074	7811809	3076	7812810	3078	7813811	3082	7814812	3084	7815813	3086	7816814	3088	7817	2959	658
818	2964	655
819	2966	651
820	2968	647
821	2970	643
822	2972	639
823	2975	635
824	2978	631
825	2980	627
826	2982	623
827	2984	620
828	2986	616
829	2991	612
830	2993	608
831	2995	604
832	2997	600
833	2999	597
834	3004	593
835	3006	589
836	3008	585
837	3011	582
838	3013	578
839	3020	575
840	3021	571
841	3024	567
842	3027	563
843	3030	560
844	3032	556
845	3034	552
846	3037	548
847	3039	544
848	3043	541
849	3045	537
850	3047	533
851	3050	529
852	3052	526
853	3055	522
854	3058	518
855	3060	514
856	3063	511
857	3068	507
858	3071	504
859	3073	500
860	3076	496
861	3079	492
862	3081	489
863	3084	485
864	3086	481
865	3089	478
866	3093	474
867	3095	470
868	3097	467
869	3100	463
870	3103	459
871	3108	456
872	3110	452
873	3113	448
874	3115	445
875	3118	441
876	3122	437
877	3124	434
878	3127	430
879	3130	426
880	3132	423
881	3135	419
882	3137	415
883	3140	412
884	3144	408
885	3146	404
886	3149	401
887	3151	397
888	3153	393
889	3156	390
890	3159	386
891	3160	382
892	3163	379
893	3165	375
894	3167	371
895	3170	367
896	3172	364
897	3174	360
898	3177	356
899	3179	353
900	3182	349
901	3185	346
902	3188	342
903	3191	338
904	3192	335
905	3195	331
906	3198	327
907	3200	324
908	3202	320
909	3204	316
910	3208	313
911	3210	309
912	3212	306
913	3214	302
914	3217	298
915	3219	295
916	3221	291
917	3225	288
918	3228	284
919	3230	280
920	3233	277
921	3237	273
922	3239	270
923	3241	266
924	3243	263
925	3247	259
926	3249	255
927	3251	252
928	3253	248
929	3255	245
930	3256	241
931	3258	237
932	3261	234
933	3262	230
934	3264	226
935	3266	223
936	3267	219
937	3269	216
938	3271	212
939	3273	208
940	3276	205
941	3278	201
942	3280	198
943	3282	194
944	3286	191
945	3289	187
946	3291	184
947945	3441	196
946	3443	192
947	3447	189
948	3449	185
949	3452	181
950	3457	178
951	3466	174
952	3469	171
953	3474	167
954	3476	163
955	3479	160
956	3483	156
957	3485	152
958	3488	149
959	3490	145
960	3493	141
961	3496	1964962	3498	1965963	3501	130
964	3503	127
965	3506	1968966	3509	119
967	3512	116
968	3514	112
969	3516	108
970	3519973	3971	352974	3381	86
975	3384	83
976	3386	79
977	3390	76
978	3393	72
979	3395	69
980	3397	65
981	3399	62
982	3403	58
983	3405	55
984	3407	51
985	3409	48
986	3412	44
987	3416	41
988	3418	38
989	3420	34
990	3422	31
991	3425	27
992	3427	24
993	34991	35994	34992	35995	34993	35996	34994	35997	34995	3998	344996	999	3447997	3596	7
998	3599	3
999	3602	0
